,Dates,MinTemp,MaxTemp
0,2010-01-01,13,19
1,2010-01-02,9,13
2,2010-01-03,12,20
3,2010-01-04,15,23
4,2010-01-05,20,25
5,2010-01-06,18,26
6,2010-01-07,20,24
7,2010-01-08,22,28
8,2010-01-09,16,22
9,2010-01-10,3,26
10,2010-01-11,21,24
11,2010-01-12,24,31
12,2010-01-13,20,42
13,2010-01-14,34,38
14,2010-01-15,27,34
15,2010-01-16,25,35
16,2010-01-17,32,43
17,2010-01-18,27,34
18,2010-01-19,24,37
19,2010-01-20,29,35
20,2010-01-21,32,38
21,2010-01-22,32,35
22,2010-01-23,37,47
23,2010-01-24,47,55
24,2010-01-25,28,35
25,2010-01-26,22,28
26,2010-01-27,16,24
27,2010-01-28,11,13
28,2010-01-29,10,22
29,2010-01-30,19,26
30,2010-01-31,32,32
31,2010-02-01,20,33
32,2010-02-02,30,37
33,2010-02-03,26,29
34,2010-02-04,28,35
35,2010-02-05,33,39
36,2010-02-06,27,31
37,2010-02-07,23,29
38,2010-02-08,23,29
39,2010-02-09,27,34
40,2010-02-10,26,28
41,2010-02-11,20,28
42,2010-02-12,17,33
43,2010-02-13,15,29
44,2010-02-14,15,32
45,2010-02-15,22,29
46,2010-02-16,27,31
47,2010-02-17,26,32
48,2010-02-18,29,36
49,2010-02-19,24,36
50,2010-02-20,32,38
51,2010-02-21,34,39
52,2010-02-22,33,36
53,2010-02-23,29,35
54,2010-02-24,24,29
55,2010-02-25,26,32
56,2010-02-26,21,34
57,2010-02-27,31,34
58,2010-02-28,32,32
59,2010-03-01,32,35
60,2010-03-02,31,35
61,2010-03-03,31,36
62,2010-03-04,30,37
63,2010-03-05,30,36
64,2010-03-06,29,49
65,2010-03-07,29,47
66,2010-03-08,33,50
67,2010-03-09,36,52
68,2010-03-10,45,57
69,2010-03-11,49,55
70,2010-03-12,42,50
71,2010-03-13,42,47
72,2010-03-14,39,40
73,2010-03-15,38,42
74,2010-03-16,37,52
75,2010-03-17,37,57
76,2010-03-18,39,58
77,2010-03-19,43,55
78,2010-03-20,32,34
79,2010-03-21,35,42
80,2010-03-22,38,46
81,2010-03-23,36,52
82,2010-03-24,41,47
83,2010-03-25,32,44
84,2010-03-26,29,37
85,2010-03-27,32,51
86,2010-03-28,40,46
87,2010-03-29,35,41
88,2010-03-30,34,56
89,2010-03-31,32,32
90,2010-04-01,50,70
91,2010-04-02,53,68
92,2010-04-03,47,51
93,2010-04-04,42,62
94,2010-04-05,46,61
95,2010-04-06,52,69
96,2010-04-07,43,49
97,2010-04-08,37,43
98,2010-04-09,36,47
99,2010-04-10,41,63
100,2010-04-11,44,53
101,2010-04-12,46,59
102,2010-04-13,46,56
103,2010-04-14,46,68
104,2010-04-15,52,72
105,2010-04-16,51,57
106,2010-04-17,42,49
107,2010-04-18,40,46
108,2010-04-19,38,52
109,2010-04-20,43,61
110,2010-04-21,45,55
111,2010-04-22,40,53
112,2010-04-23,45,54
113,2010-04-24,51,60
114,2010-04-25,47,55
115,2010-04-26,44,49
116,2010-04-27,39,44
117,2010-04-28,44,58
118,2010-04-29,44,62
